dst_bytes,logged_in,service,dst_host_count,protocol_type,dst_host_srv_diff_host_rate,dst_host_same_src_port_rate,src_bytes,srv_count,count,srv_diff_host_rate,dst_host_serror_rate,serror_rate,srv_serror_rate,dst_host_srv_serror_rate,flag,duration,same_srv_rate,diff_srv_rate,dst_host_diff_srv_rate,label
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,1,0,0,0,2,,,,,1.0,1.0,5,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,1,0,0,0,,,,,,1.0,1.0,5,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,1,0,0,0,,,,,,1.0,1.0,5,,0,0,0,1
0,0,,,1,0,0,0,,,,,,1.0,1.0,5,,0,0,0,1
0,0,,,0,0,0,,2,0,,,,0.0,0.0,9,,0,0,0,1
0,0,,,1,0,0,0,2,,,,,1.0,1.0,5,,0,0,0,1
0,0,,,1,0,0,0,4,,,,,1.0,1.0,5,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,1,0,0,0,,,,,,1.0,1.0,5,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,1,0,0,0,1,,,,,1.0,1.0,5,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,1,0,0,0,,,,,,1.0,1.0,5,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,1,0,0,0,,,,,,1.0,1.0,5,,0,0,0,1
0,0,,,1,0,0,0,,,,,,1.0,1.0,5,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,1,0,0,0,,,,,,0.0,0.0,1,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,1,0,0,0,,,,,,1.0,1.0,5,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,1,0,0,0,,,,,,1.0,1.0,5,,0,0,0,1
0,0,,,1,0,0,0,,,,,,1.0,1.0,5,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
,1,,,1,0,0,,3,3,,,,0.0,0.01,9,,0,0,0,1
0,0,,,1,0,0,0,,,,,,1.0,1.0,5,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,1,0,0,0,3,,,,,0.0,0.0,1,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,1,0,0,0,4,,,,,1.0,1.0,5,,0,0,0,1
0,0,,,1,0,0,0,,,,,,1.0,1.0,5,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,1,0,0,0,,,,,,1.0,1.0,5,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,1,0,0,0,,,,,,1.0,1.0,5,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
,1,,,1,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,1,0,0,0,1,,,,,1.0,1.0,5,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,1,0,0,0,,,,,,1.0,1.0,5,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,1,0,0,0,4,,,,,1.0,1.0,5,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,1,0,0,0,3,,,,,0.0,0.0,1,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,1,0,0,0,,,,,,1.0,1.0,5,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,1,0,0,0,,,,,,1.0,1.0,5,,0,0,0,1
0,0,,,1,0,0,0,,,,,,0.0,0.0,1,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,1,0,0,0,0,,,,,1.0,1.0,5,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,1,0,0,0,2,,,,,1.0,1.0,5,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,1,0,0,0,,,,,,0.0,0.0,1,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,1,0,0,0,3,,,,,1.0,1.0,5,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,1,0,0,0,,,,,,1.0,1.0,5,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,1,0,0,0,,,,,,1.0,1.0,5,,0,0,0,1
0,0,,,1,0,0,0,,,,,,0.0,0.0,1,,0,0,0,1
0,0,,,1,0,0,0,0,,,,,1.0,1.0,5,,0,0,0,1
0,0,,,1,0,0,0,,,,,,1.0,1.0,5,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,1,0,0,0,,,,,,1.0,1.0,5,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,2,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,1,0,0,0,,,,,,1.0,1.0,5,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,1,0,0,0,,,,,,1.0,1.0,5,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,1,0,0,0,,,,,,0.0,0.0,1,,0,0,0,1
0,0,,,1,0,0,0,,,,,,1.0,1.0,5,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,1,0,0,0,,,,,,1.0,1.0,5,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,1,0,0,0,,,,,,1.0,1.0,5,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,1,0,0,0,2,,,,,0.0,0.0,1,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,1,0,0,0,2,,,,,1.0,1.0,5,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,1,0,0,0,,,,,,1.0,1.0,5,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,1,0,0,0,,,,,,1.0,1.0,5,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,1,0,0,0,1,,,,,1.0,1.0,5,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,1,0,0,0,,,,,,1.0,1.0,5,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,1,0,0,0,,,,,,1.0,1.0,5,,0,0,0,1
0,0,,,1,0,0,0,4,,,,,1.0,1.0,5,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,1,0,0,0,,,,,,1.0,1.0,5,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,1,0,0,0,0,,,,,1.0,1.0,5,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,1,0,0,0,,,,,,0.0,0.0,1,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,1,0,0,0,4,,,,,1.0,1.0,5,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,1,0,0,0,,,,,,0.0,0.0,1,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,1,0,0,0,,,,,,1.0,1.0,5,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,1,0,0,0,,,,,,1.0,1.0,5,,0,0,0,1
0,0,,,1,0,0,0,,,,,,1.0,1.0,5,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,1,0,0,0,0,,,,,1.0,1.0,5,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,1,0,0,0,,,,,,1.0,1.0,5,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,1,0,0,0,,,,,,1.0,1.0,5,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,1,0,0,0,,,,,,1.0,1.0,5,,0,0,0,1
0,0,,,1,0,0,0,,,,,,1.0,1.0,5,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,1,0,0,0,,,,,,1.0,1.0,5,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,1,0,0,0,4,,,,,1.0,1.0,5,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,1,0,0,0,,,,,,1.0,1.0,5,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,1,0,0,0,,,,,,1.0,1.0,5,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,1,0,0,0,,,,,,0.0,0.0,1,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,1,0,0,0,,,,,,0.0,0.0,1,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,1,0,0,0,,,,,,1.0,1.0,5,,0,0,0,1
0,0,,,1,0,0,0,,,,,,1.0,1.0,5,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,1,0,0,0,,,,,,1.0,1.0,5,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,1,0,0,0,,,,,,1.0,1.0,5,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,1,0,0,0,,,,,,1.0,1.0,5,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,1,0,0,0,3,,,,,1.0,1.0,5,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,1,0,0,0,,,,,,1.0,1.0,5,,0,0,0,1
0,0,,,1,0,0,0,,,,,,1.0,1.0,5,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,1,0,0,0,,,,,,1.0,1.0,5,,0,0,0,1
0,0,,,1,0,0,0,,,,,,1.0,1.0,5,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,1,0,0,0,,,,,,1.0,1.0,5,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,1,0,0,0,,,,,,1.0,1.0,5,,0,0,0,1
0,0,,,1,0,0,0,4,,,,,1.0,1.0,5,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,1,0,0,0,,,,,,1.0,1.0,5,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,0,0,0,,,,,,,0.0,0.0,9,,0,0,0,1
0,0,,,1,0,0,0,4,,,,,1.0,1.0,5,,0,0,0,1
